original,X1,0.091973186,0.072797635
FALSE,0.054948918,,0.054948918
FALSE,0.069352099,,0.069352099
FALSE,0.070020476,,0.070020476
FALSE,0.067157956,,0.067157956
FALSE,0.082315643,,0.082315643
TRUE,0.081531627,0.081531627,
FALSE,0.078886183,,0.078886183
FALSE,0.096886365,,0.096886365
FALSE,0.086387499,,0.086387499
FALSE,0.250480197,,0.250480197
FALSE,0.069429921,,0.069429921
FALSE,0.05954386,,0.05954386
FALSE,0.057131255,,0.057131255
TRUE,0.062639304,0.062639304,
FALSE,0.06454137,,0.06454137
FALSE,0.061347286,,0.061347286
TRUE,0.121795147,0.121795147,
FALSE,0.053367343,,0.053367343
TRUE,0.091180994,0.091180994,
FALSE,0.055295115,,0.055295115
FALSE,0.08853462,,0.08853462
FALSE,0.067827071,,0.067827071
FALSE,0.068379555,,0.068379555
TRUE,0.079386682,0.079386682,
FALSE,0.073475039,,0.073475039
FALSE,0.060962862,,0.060962862
TRUE,0.183522302,0.183522302,
FALSE,0.059292135,,0.059292135
FALSE,0.08455078,,0.08455078
FALSE,0.075723589,,0.075723589
TRUE,0.083635843,0.083635843,
FALSE,0.082523718,,0.082523718
FALSE,0.111844073,,0.111844073
FALSE,0.052403178,,0.052403178
FALSE,0.072153758,,0.072153758
FALSE,0.061462985,,0.061462985
FALSE,0.064589907,,0.064589907
FALSE,0.054572454,,0.054572454
FALSE,0.078194092,,0.078194092
TRUE,0.077959485,0.077959485,
FALSE,0.071452515,,0.071452515
FALSE,0.069919935,,0.069919935
FALSE,0.053657475,,0.053657475
FALSE,0.069497412,,0.069497412
FALSE,0.060419523,,0.060419523
FALSE,0.069763396,,0.069763396
FALSE,0.062612822,,0.062612822
FALSE,0.067477526,,0.067477526
FALSE,0.057451025,,0.057451025
FALSE,0.063904565,,0.063904565
FALSE,0.075272621,,0.075272621
FALSE,0.110133061,,0.110133061
TRUE,0.116563636,0.116563636,
FALSE,0.091221558,,0.091221558
FALSE,0.089618746,,0.089618746
FALSE,0.067384008,,0.067384008
FALSE,0.093830237,,0.093830237
FALSE,0.067533603,,0.067533603
FALSE,0.069014716,,0.069014716
FALSE,0.054966033,,0.054966033
TRUE,0.093952998,0.093952998,
FALSE,0.08684171,,0.08684171
FALSE,0.05457252,,0.05457252
FALSE,0.118344623,,0.118344623
FALSE,0.082542831,,0.082542831
FALSE,0.058254146,,0.058254146
FALSE,0.066451642,,0.066451642
FALSE,0.074492953,,0.074492953
FALSE,0.094340461,,0.094340461
FALSE,0.061496633,,0.061496633
FALSE,0.080325694,,0.080325694
FALSE,0.06046044,,0.06046044
TRUE,0.111642274,0.111642274,
FALSE,0.060938539,,0.060938539
FALSE,0.053583213,,0.053583213
FALSE,0.058328519,,0.058328519
FALSE,0.068703667,,0.068703667
FALSE,0.06110242,,0.06110242
FALSE,0.061510173,,0.061510173
FALSE,0.072438713,,0.072438713
FALSE,0.066026515,,0.066026515
FALSE,0.066383833,,0.066383833
FALSE,0.056675479,,0.056675479
FALSE,0.077474404,,0.077474404
FALSE,0.077032637,,0.077032637
TRUE,0.060026045,0.060026045,
FALSE,0.065792212,,0.065792212
FALSE,0.081498358,,0.081498358
FALSE,0.138196992,,0.138196992
FALSE,0.070018478,,0.070018478
FALSE,0.081068524,,0.081068524
TRUE,0.079902884,0.079902884,
FALSE,0.062956825,,0.062956825
FALSE,0.089125413,,0.089125413
TRUE,0.075607827,0.075607827,
FALSE,0.071596925,,0.071596925
TRUE,0.083486369,0.083486369,
FALSE,0.09590495,,0.09590495
FALSE,0.092065342,,0.092065342
FALSE,0.072573581,,0.072573581
TRUE,0.127913472,0.127913472,
FALSE,0.099060405,,0.099060405
FALSE,0.069682801,,0.069682801
FALSE,0.067710393,,0.067710393
FALSE,0.138837619,,0.138837619
FALSE,0.061703027,,0.061703027
FALSE,0.07976015,,0.07976015
FALSE,0.091199188,,0.091199188
FALSE,0.095685072,,0.095685072
FALSE,0.077544817,,0.077544817
FALSE,0.089896511,,0.089896511
FALSE,0.057886545,,0.057886545
FALSE,0.082745237,,0.082745237
FALSE,0.081797846,,0.081797846
FALSE,0.0700443,,0.0700443
FALSE,0.07255597,,0.07255597
TRUE,0.079804659,0.079804659,
FALSE,0.112973478,,0.112973478
FALSE,0.159370627,,0.159370627
FALSE,0.089780591,,0.089780591
FALSE,0.066136163,,0.066136163
FALSE,0.054522377,,0.054522377
FALSE,0.074241238,,0.074241238
FALSE,0.056843466,,0.056843466
FALSE,0.078318757,,0.078318757
FALSE,0.058010159,,0.058010159
FALSE,0.102117236,,0.102117236
FALSE,0.075292324,,0.075292324
FALSE,0.064053826,,0.064053826
FALSE,0.072245435,,0.072245435
FALSE,0.069103223,,0.069103223
FALSE,0.083915228,,0.083915228
FALSE,0.056582831,,0.056582831
FALSE,0.06481281,,0.06481281
TRUE,0.099548224,0.099548224,
FALSE,0.07934129,,0.07934129
FALSE,0.068186298,,0.068186298
FALSE,0.063067682,,0.063067682
FALSE,0.056702047,,0.056702047
FALSE,0.079123348,,0.079123348
FALSE,0.064268523,,0.064268523
FALSE,0.072121179,,0.072121179
FALSE,0.068241032,,0.068241032
FALSE,0.068161243,,0.068161243
FALSE,0.056556645,,0.056556645
FALSE,0.088017829,,0.088017829
FALSE,0.059323454,,0.059323454
FALSE,0.064198508,,0.064198508
FALSE,0.063678502,,0.063678502
